岗位名称,所属部门,职级层级,职级,岗位类型,核心技能,加分技能,必备培训,绩效要求,司龄要求,办公方式要求,是否管理岗,适配说明
HR专员,财务中心,员工层,中级,支撑岗,HRBP、LD、OD、TD、人才测评、人才盘点、企业文化、劳动法、员工关系、培训发展、招聘配置、组织发展、绩效管理、薪酬福利、面试技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、职业规划、薪酬设计、销售谈判技巧、问题解决、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合HR专员岗位要求的人才
IT支持专员,研发中心,员工层,中级,支撑岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、MySQL、Python、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Excel高级应用、PPT商务演示、产品经理进阶、公文写作、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、产品经理进阶、公文写作、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合IT支持专员岗位要求的人才
业务分析师,财务中心,员工层,中级,技术岗,SOP制定、供应链、团队管理、客户服务、库存管理、投诉处理、效率提升、数据分析、流程优化、目标管理、质量管理、跨部门协作、运营管理、项目管理,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、时间管理、演讲与表达、用户体验设计、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、时间管理、演讲与表达、用户体验设计、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合业务分析师岗位要求的人才
云工程师,研发中心,员工层,中级,技术岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、MySQL、Python、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合云工程师岗位要求的人才
会计,财务中心,员工层,中级,支撑岗,ERP系统、Excel高级、会计核算、内控审计、合规管理、成本控制、投融资、税务筹划、财务分析、财务建模、财务报表、资金管理、预算管理、风险管理,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合会计岗位要求的人才
信息技术经理,行政中心,经理层,经理,管理岗,Docker、Git、Go、Java、K8s、MySQL、单元测试、微服务、数据结构,Excel高级应用、PPT商务演示、Python数据分析、商务礼仪、增长黑客、敏捷开发Scrum、私域流量运营、职业规划、薪酬设计、销售谈判技巧,Excel高级应用、PPT商务演示、Python数据分析、商务礼仪、增长黑客、敏捷开发Scrum、私域流量运营、职业规划、薪酬设计、销售谈判技巧,绩效4分以上,3年以上,现场办公、远程办公,是,适合信息技术经理管理岗位的人才
全栈开发工程师,研发中心,员工层,中级,技术岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、MySQL、Python、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合全栈开发工程师岗位要求的人才
内容运营,营销中心,员工层,中级,支撑岗,KOL合作、SEM、SEO、内容营销、品牌推广、市场策划、数据分析、文案撰写、活动策划、用户增长、直播运营、短视频运营、社交媒体、社群运营、私域运营,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、创新思维、压力管理、商务礼仪、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、数据分析思维、时间管理、演讲与表达、目标管理、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、创新思维、压力管理、商务礼仪、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、数据分析思维、时间管理、演讲与表达、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合内容运营岗位要求的人才
安全分析师,研发中心,员工层,中级,技术岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、MySQL、Python、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、短视频运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、短视频运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合安全分析师岗位要求的人才
客户经理,营销中心,员工层,中级,管理岗,CRM、业绩目标、关系维护、售后服务、商务谈判、回款管理、大客户管理、客户成功、客户管理、招投标、方案撰写、渠道拓展、销售技巧、需求挖掘,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,是,适合客户经理管理岗位的人才
工程总监,研发中心,总监层,总监,管理岗,CI/CD、Git、Go、Java、K8s、MySQL、Python、React、Redis、Spring Boot、单元测试、算法,招聘面试技巧、数据分析思维、演讲与表达、结构化思考、销售谈判技巧、领导力提升,招聘面试技巧、数据分析思维、演讲与表达、结构化思考、销售谈判技巧、领导力提升,绩效4分以上,3年以上,现场或混合办公,是,适合工程总监管理岗位的人才
市场专员,财务中心,员工层,中级,支撑岗,KOL合作、SEM、SEO、内容营销、品牌推广、市场策划、数据分析、文案撰写、活动策划、用户增长、直播运营、短视频运营、社交媒体、社群运营、私域运营,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、时间管理、演讲与表达、用户体验设计、目标管理、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合市场专员岗位要求的人才
市场经理,行政中心,经理层,经理,管理岗,KOL合作、内容营销、市场策划、数据分析、直播运营、短视频运营,增长黑客,增长黑客,绩效4分以上,3年以上,混合办公,是,适合市场经理管理岗位的人才
技术支持专员,研发中心,员工层,中级,技术岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、MySQL、Python、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Excel高级应用、PPT商务演示、公文写作、创新思维、压力管理、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、薪酬设计、销售谈判技巧、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、公文写作、创新思维、压力管理、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、薪酬设计、销售谈判技巧、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合技术支持专员岗位要求的人才
招聘专员,财务中心,员工层,中级,支撑岗,HRBP、LD、OD、TD、人才测评、人才盘点、企业文化、劳动法、员工关系、培训发展、招聘配置、组织发展、绩效管理、薪酬福利、面试技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、数据分析思维、时间管理、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、职业规划、薪酬设计、销售谈判技巧、问题解决、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、数据分析思维、时间管理、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合招聘专员岗位要求的人才
数据科学家,研发中心,员工层,中级,支撑岗,A/B测试、Hadoop、Hive、PyTorch、Python、SQL、Spark、Tableau、TensorFlow、数据分析、数据可视化、数据挖掘、机器学习、模型调优、深度学习、特征工程、统计学,PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合数据科学家岗位要求的人才
机器学习工程师,研发中心,员工层,中级,技术岗,A/B测试、Hadoop、Hive、PyTorch、Python、SQL、Spark、Tableau、TensorFlow、数据分析、数据可视化、数据挖掘、机器学习、模型调优、深度学习、特征工程、统计学,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合机器学习工程师岗位要求的人才
测试经理,行政中心,经理层,经理,管理岗,Docker、Git、Go、K8s、Linux、Python、React、Redis、Vue、单元测试、微服务、性能优化、敏捷开发、数据结构、算法,Python数据分析、团队协作、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、短视频运营、私域流量运营、绩效管理、职业规划、项目管理PMP、领导力提升、高效沟通技巧,Python数据分析、团队协作、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、短视频运营、私域流量运营、绩效管理、职业规划、项目管理PMP、领导力提升、高效沟通技巧,绩效4分以上,3年以上,现场或混合办公,是,适合测试经理管理岗位的人才
系统管理员,研发中心,员工层,中级,技术岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、MySQL、Python、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、公文写作、创新思维、压力管理、商务礼仪、团队协作、增长黑客、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合系统管理员岗位要求的人才
网络工程师,研发中心,员工层,中级,技术岗,CI/CD、Docker、Git、Go、Java、K8s、Linux、MySQL、Python、React、Redis、Spring Boot、Vue、单元测试、微服务、性能优化、接口测试、敏捷开发、数据结构、算法,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、时间管理、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升,绩效3分以上,1年以上,现场或混合办公,否,适合网络工程师岗位要求的人才
行政主管,行政中心,员工层,中级,管理岗,会议组织、供应商管理、公文写作、制度建设、前台接待、办公用品、后勤保障、固定资产、差旅管理、成本控制、档案管理、活动策划、行政管理,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、敏捷开发Scrum、用户体验设计、目标管理、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、PPT商务演示、Python数据分析、产品经理进阶、创新思维、压力管理、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、敏捷开发Scrum、用户体验设计、目标管理、私域流量运营、结构化思考、绩效管理、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,是,适合行政主管管理岗位的人才
财务分析师,财务中心,员工层,中级,技术岗,ERP系统、Excel高级、会计核算、内控审计、合规管理、成本控制、投融资、税务筹划、财务分析、财务建模、财务报表、资金管理、预算管理、风险管理,Excel高级应用、Python数据分析、产品经理进阶、公文写作、创新思维、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,Excel高级应用、Python数据分析、产品经理进阶、公文写作、创新思维、商务礼仪、团队协作、增长黑客、客户服务技巧、情绪管理、招聘面试技巧、敏捷开发Scrum、数据分析思维、演讲与表达、用户体验设计、目标管理、短视频运营、私域流量运营、结构化思考、职业规划、薪酬设计、销售谈判技巧、问题解决、项目管理PMP、领导力提升、高效沟通技巧,绩效3分以上,1年以上,现场或混合办公,否,适合财务分析师岗位要求的人才
